City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,big rapids,43.6981,-85.4837,0.18,80,100,1.54,US,1734485979
210,badger,64.8,-147.5333,-16.47,77,75,0.0,US,1734485980
211,llanes,43.4198,-4.7549,14.74,67,63,3.21,ES,1734485982
212,mammoth lakes,37.6485,-118.9721,1.25,56,0,3.09,US,1734485983
213,taghazout,30.5426,-9.7112,17.61,63,0,4.24,MA,1734485984
214,sitka,57.0531,-135.33,2.94,65,40,2.57,US,1734485985
215,lihue,21.9789,-159.3672,27.63,74,0,6.69,US,1734485987
216,hasaki,35.7333,140.8333,10.16,52,1,4.96,JP,1734485988
217,tidjikja,18.5564,-11.4271,17.44,30,99,8.51,MR,1734485989
218,kiunga,-6.1219,141.2906,26.04,83,100,1.31,PG,1734485990
219,la ronge,55.1001,-105.2842,-22.86,70,0,6.17,CA,1734485992
220,la'ie,21.6477,-157.9253,28.36,71,0,0.45,US,1734485993
221,eyl,7.9803,49.8164,22.45,68,11,9.11,SO,1734485994
222,trondheim,63.4305,10.3951,1.11,86,100,0.45,NO,1734485187
223,nikolayevsk-on-amure,53.1406,140.73,-16.76,84,100,3.21,RU,1734485996
224,chom thong,18.4174,98.6743,22.74,81,17,0.84,TH,1734485998
225,fortuna,40.5982,-124.1573,14.4,77,0,6.17,US,1734485708
226,keflavik,64.0049,-22.5624,-1.76,100,75,4.63,IS,1734486000
227,omaruru,-21.4333,15.9333,19.1,33,100,0.52,NA,1734486002
228,port moresby,-9.4431,147.1797,29.68,74,40,5.14,PG,1734486001
229,udachny,66.4167,112.4,-32.74,95,10,2.36,RU,1734486004
230,nemuro,43.3236,145.575,-2.84,53,8,8.22,JP,1734486005
231,sao tome,0.3365,6.7273,26.72,79,97,1.45,ST,1734485988
232,trairi,-3.2778,-39.2689,26.47,80,82,5.19,BR,1734485888
233,laguna,38.421,-121.4238,12.25,88,0,2.57,US,1734486009
234,georgetown,5.4112,100.3354,27.96,73,20,2.57,MY,1734485788
235,san pedro pochutla,15.7333,-96.4667,26.84,80,41,1.8,MX,1734486012
236,mamuju,-2.6748,118.8885,30.53,63,60,1.44,ID,1734486013
237,longyearbyen,78.2186,15.6401,-11.09,73,20,4.12,SJ,1734486014
238,chui,-33.6971,-53.4616,15.8,89,0,2.89,UY,1734486015
239,qamdo,31.1667,97.2333,-2.07,40,0,2.6,CN,1734486017
240,zalishchyky,48.6447,25.7339,6.64,83,100,8.82,UA,1734486018
241,jamestown,42.097,-79.2353,2.79,87,100,3.09,US,1734486019
242,inirida,3.8653,-67.9239,24.72,88,70,0.81,CO,1734486020
243,walvis bay,-22.9575,14.5053,13.35,90,0,2.66,NA,1734486022
244,solleftea,63.1667,17.2667,-15.08,97,100,0.77,SE,1734486023
245,corner brook,48.9667,-57.9484,7.12,91,100,5.61,CA,1734486024
246,porto belo,-27.1578,-48.5531,22.27,86,19,2.78,BR,1734486025
247,maun,-19.9833,23.4167,21.25,83,100,0.74,BW,1734486027
248,remire-montjoly,4.9167,-52.2667,23.02,100,100,0.0,GF,1734486028
249,akhtubinsk,48.2795,46.1722,1.77,95,100,9.12,RU,1734486029
250,vadso,70.0744,29.7487,-13.91,78,100,5.66,NO,1734486030
251,san isidro,-12.1167,-77.05,22.23,78,0,6.17,PE,1734485784
252,nouadhibou,20.931,-17.0347,20.99,30,100,9.77,MR,1734486033
253,boa vista,2.8197,-60.6733,26.99,78,20,0.51,BR,1734485825
254,hammerfest,70.6634,23.6821,-8.75,73,84,1.54,NO,1734486035
255,wotho,10.1657,166.0102,27.29,82,100,11.96,MH,1734486037
256,steamboat springs,40.485,-106.8317,-0.69,99,100,1.54,US,1734486038
257,gadzhiyevo,69.2551,33.3362,-15.81,88,100,2.39,RU,1734486039
258,usinsk,65.9939,57.5281,-28.59,100,25,2.51,RU,1734485884
259,knyaze-volkonskoye,48.4642,135.4567,-20.81,87,22,3.38,RU,1734486042
260,kita,13.0349,-9.4895,19.52,16,90,2.04,ML,1734486043
261,turinsk,58.0458,63.696,-8.98,94,100,4.86,RU,1734486044
262,the dalles,45.5946,-121.1787,4.74,98,100,2.57,US,1734486045
263,hauterive,46.0901,3.4459,5.86,70,66,2.38,FR,1734486047
264,karamay,45.6004,84.8661,-12.75,87,27,1.59,CN,1734486048
265,itanhaem,-24.1831,-46.7889,21.23,87,40,0.22,BR,1734486049
266,madang,-5.2246,145.7966,24.35,95,100,3.55,PG,1734486050
